timestamp,heart_rate
2025-06-12 09:22:19,82
2025-06-12 09:22:24,85
2025-06-12 09:22:29,83
2025-06-12 09:22:34,83
2025-06-12 09:22:35,83
2025-06-12 09:22:43,87
2025-06-12 09:22:45,87
2025-06-12 09:22:54,95
2025-06-12 09:22:56,95
2025-06-12 09:23:01,97
2025-06-12 09:23:09,105
2025-06-12 09:23:11,105
2025-06-12 09:23:15,102
2025-06-12 09:23:24,91
2025-06-12 09:23:29,97
2025-06-12 09:23:34,97
2025-06-12 09:23:36,98
2025-06-12 09:23:40,98
2025-06-12 09:23:49,88
2025-06-12 09:23:52,85
2025-06-12 09:23:57,78
2025-06-12 09:24:03,74
2025-06-12 09:24:08,72
2025-06-12 09:24:14,70
2025-06-12 09:24:19,70
2025-06-12 09:24:21,70
2025-06-12 09:24:27,70
2025-06-12 09:24:30,71
2025-06-12 09:24:38,78
2025-06-12 09:24:41,75
2025-06-12 09:24:46,72
2025-06-12 09:24:54,71
2025-06-12 09:24:58,71
2025-06-12 09:25:03,71
2025-06-12 09:25:05,71
2025-06-12 09:25:10,71
2025-06-12 09:25:19,71
2025-06-12 09:25:20,71
2025-06-12 09:25:29,72
2025-06-12 09:25:33,71
2025-06-12 09:25:39,73
2025-06-12 09:25:44,73
2025-06-12 09:25:46,73
2025-06-12 09:25:54,71
2025-06-12 09:25:56,71
2025-06-12 09:26:01,71
2025-06-12 09:26:06,71
2025-06-12 09:26:10,72
2025-06-12 09:26:17,72
2025-06-12 09:26:20,71
2025-06-12 09:26:27,71
2025-06-12 09:26:33,71
2025-06-12 09:26:38,71
2025-06-12 09:26:43,71
2025-06-12 09:26:47,71
2025-06-12 09:26:50,72
2025-06-12 09:26:59,76
2025-06-12 09:27:04,75
2025-06-12 09:27:09,73
2025-06-12 09:27:11,72
2025-06-12 09:27:19,69
2025-06-12 09:27:23,68
2025-06-12 09:27:28,69
2025-06-12 09:27:30,69
2025-06-12 09:27:36,70
2025-06-12 09:27:44,71
2025-06-12 09:27:46,71
2025-06-12 09:27:50,71
2025-06-12 09:27:58,73
2025-06-12 09:28:01,74
2025-06-12 09:28:07,76
2025-06-12 09:28:11,75
2025-06-12 09:28:17,81
2025-06-12 09:28:23,76
2025-06-12 09:28:25,76
2025-06-12 09:28:30,81
2025-06-12 09:28:39,85
2025-06-12 09:28:44,84
2025-06-12 09:28:49,85
2025-06-12 09:28:51,85
2025-06-12 09:28:55,85
2025-06-12 09:29:04,78
2025-06-12 09:29:09,76
2025-06-12 09:29:14,78
2025-06-12 09:29:17,77
2025-06-12 09:29:21,75
2025-06-12 09:29:28,71
2025-06-12 09:29:34,72
2025-06-12 09:29:35,72
2025-06-12 09:29:40,76
2025-06-12 09:29:45,78
2025-06-12 09:29:52,84
2025-06-12 09:29:56,83
2025-06-12 09:30:03,75
2025-06-12 09:30:07,73
2025-06-12 09:30:12,72
2025-06-12 09:30:15,71
2025-06-12 09:30:21,70
2025-06-12 09:30:27,68
2025-06-12 09:30:30,69
2025-06-12 09:30:35,71
2025-06-12 09:30:40,76
2025-06-12 09:30:49,79
2025-06-12 09:30:51,79
2025-06-12 09:30:55,82
2025-06-12 09:31:04,75
2025-06-12 09:31:09,73
2025-06-12 09:31:13,72
2025-06-12 09:31:16,71
2025-06-12 09:31:21,70
2025-06-12 09:31:26,70
2025-06-12 09:31:33,74
2025-06-12 09:31:35,73
2025-06-12 09:31:42,73
2025-06-12 09:31:49,72
2025-06-12 09:31:54,71
2025-06-12 09:31:55,71
2025-06-12 09:32:00,71
2025-06-12 09:32:08,71
2025-06-12 09:32:12,71
2025-06-12 09:32:15,71
2025-06-12 09:32:23,79
2025-06-12 09:32:27,78
2025-06-12 09:32:30,78
2025-06-12 09:32:39,73
2025-06-12 09:32:42,73
2025-06-12 09:32:45,71
2025-06-12 09:32:50,70
2025-06-12 09:32:56,69
2025-06-12 09:33:01,70
2025-06-12 09:33:07,68
2025-06-12 09:33:11,69
2025-06-12 09:33:16,69
2025-06-12 09:33:19,73
2025-06-12 09:33:22,68
2025-06-12 09:33:27,73
2025-06-12 09:33:32,69
2025-06-12 09:33:34,70
2025-06-12 09:33:38,69
2025-06-12 09:33:40,67
2025-06-12 09:33:42,67
2025-06-12 09:33:49,63
2025-06-12 09:33:55,68
2025-06-12 09:33:59,67
2025-06-12 09:34:04,67
2025-06-12 09:34:09,63
2025-06-12 09:34:15,70
2025-06-12 09:34:22,63
2025-06-12 09:34:31,68
2025-06-12 09:34:36,56
2025-06-12 09:34:41,68
2025-06-12 09:34:45,68
2025-06-12 09:34:53,72
2025-06-12 09:34:58,65
2025-06-12 09:35:06,73
2025-06-12 09:35:11,65
2025-06-12 09:35:20,60
2025-06-12 09:35:29,66
2025-06-12 09:35:32,64
2025-06-12 09:35:34,59
2025-06-12 09:35:39,66
2025-06-12 09:35:44,67
2025-06-12 09:35:49,61
2025-06-12 09:35:58,65
2025-06-12 09:36:05,63
2025-06-12 09:36:10,71
2025-06-12 09:36:19,66
2025-06-12 09:36:23,58
2025-06-12 09:36:26,67
2025-06-12 09:36:28,65
2025-06-12 09:36:36,64
2025-06-12 09:36:41,63
2025-06-12 09:36:43,64
2025-06-12 09:36:47,69
2025-06-12 09:36:50,67
2025-06-12 09:36:56,63
2025-06-12 09:36:59,64
2025-06-12 09:37:04,64
2025-06-12 09:37:06,61
2025-06-12 09:37:14,64
2025-06-12 09:37:18,65
2025-06-12 09:37:26,70
2025-06-12 09:37:33,62
2025-06-12 09:37:40,64
2025-06-12 09:37:46,64
2025-06-12 09:37:51,59
2025-06-12 09:38:00,64
2025-06-12 09:38:02,69
2025-06-12 09:38:10,64
2025-06-12 09:38:19,63
2025-06-12 09:38:23,60
2025-06-12 09:38:32,61
2025-06-12 09:38:38,63
2025-06-12 09:38:43,65
2025-06-12 09:38:45,54
2025-06-12 09:38:46,66
2025-06-12 09:38:51,60
2025-06-12 09:38:53,62
2025-06-12 09:38:57,64
2025-06-12 09:39:02,60
2025-06-12 09:39:07,61
2025-06-12 09:39:09,62
2025-06-12 09:39:16,59
2025-06-12 09:39:18,66
2025-06-12 09:39:19,62
2025-06-12 09:39:25,62
2025-06-12 09:39:29,60
2025-06-12 09:39:34,60
2025-06-12 09:39:41,62
2025-06-12 09:39:44,62
2025-06-12 09:39:49,66
2025-06-12 09:39:53,60
2025-06-12 09:39:58,61
2025-06-12 09:40:03,69
2025-06-12 09:40:06,61
2025-06-12 09:40:08,56
2025-06-12 09:40:12,59
2025-06-12 09:40:14,61
2025-06-12 09:40:23,59
2025-06-12 09:40:27,66
2025-06-12 09:40:30,61
2025-06-12 09:40:35,58
2025-06-12 09:40:40,60
2025-06-12 09:40:46,53
2025-06-12 09:40:50,60
2025-06-12 09:40:56,60
2025-06-12 09:41:00,60
2025-06-12 09:41:05,58
2025-06-12 09:41:13,64
2025-06-12 09:41:21,60
2025-06-12 09:41:23,59
2025-06-12 09:41:30,59
2025-06-12 09:41:33,60
2025-06-12 09:41:38,58
2025-06-12 09:41:42,61
2025-06-12 09:41:50,62
2025-06-12 09:41:54,59
2025-06-12 09:41:59,60
2025-06-12 09:42:04,61
2025-06-12 09:42:09,61
2025-06-12 09:42:14,58
2025-06-12 09:42:18,58
2025-06-12 09:42:21,58
2025-06-12 09:42:25,58
2025-06-12 09:42:31,58
2025-06-12 09:42:35,61
2025-06-12 09:42:40,58
2025-06-12 09:42:45,57
2025-06-12 09:42:47,58
2025-06-12 09:42:52,61
2025-06-12 09:42:58,64
2025-06-12 09:43:04,56
2025-06-12 09:43:09,60
2025-06-12 09:43:16,57
2025-06-12 09:43:25,55
2025-06-12 09:43:28,56
2025-06-12 09:43:37,57
2025-06-12 09:43:42,57
2025-06-12 09:43:45,58
2025-06-12 09:43:49,56
2025-06-12 09:43:54,55
2025-06-12 09:44:03,56
2025-06-12 09:44:05,58
2025-06-12 09:44:07,56
2025-06-12 09:44:12,56
2025-06-12 09:44:19,56
2025-06-12 09:44:24,57
2025-06-12 09:44:27,49
2025-06-12 09:44:29,56
2025-06-12 09:44:34,54
2025-06-12 09:44:39,63
2025-06-12 09:44:42,54
2025-06-12 09:44:47,59
2025-06-12 09:44:52,50
2025-06-12 09:45:01,55
2025-06-12 09:45:04,55
2025-06-12 09:45:09,61
2025-06-12 09:45:14,56
2025-06-12 09:45:20,54
2025-06-12 09:45:25,55
2025-06-12 09:45:27,56
2025-06-12 09:45:32,53
2025-06-12 09:45:39,54
2025-06-12 09:45:44,53
2025-06-12 09:45:53,54
2025-06-12 09:45:56,53
2025-06-12 09:46:02,54
2025-06-12 09:46:04,53
2025-06-12 09:46:09,55
2025-06-12 09:46:13,53
2025-06-12 09:46:14,56
2025-06-12 09:46:23,51
2025-06-12 09:46:25,57
2025-06-12 09:46:32,51
2025-06-12 09:46:37,55
2025-06-12 09:46:39,53
2025-06-12 09:46:40,52
2025-06-12 09:46:44,54
2025-06-12 09:46:52,52
2025-06-12 09:46:55,52
2025-06-12 09:46:57,59
2025-06-12 09:47:06,53
2025-06-12 09:47:08,54
2025-06-12 09:47:12,50
2025-06-12 09:47:18,56
2025-06-12 09:47:19,52
2025-06-12 09:47:21,50
2025-06-12 09:47:25,52
2025-06-12 09:47:29,52
2025-06-12 09:47:34,50
2025-06-12 09:47:41,52
2025-06-12 09:47:48,44
2025-06-12 09:47:52,51
2025-06-12 09:47:59,50
2025-06-12 09:48:01,51
2025-06-12 09:48:05,53
2025-06-12 09:48:13,49
2025-06-12 09:48:22,50
