time,active_energy_burned,basal_energy_burned,heart_rate,physical_effort
2025-06-05 17:58:54+02:00,0.077,0.066,56.0,
2025-06-05 17:58:56+02:00,0.077,0.066,,
2025-06-05 17:58:59+02:00,0.077,0.066,,
2025-06-05 17:59:00+02:00,,,54.0,
2025-06-05 17:59:01+02:00,0.077,0.066,,
2025-06-05 17:59:02+02:00,,,54.0,
2025-06-05 17:59:04+02:00,0.077,0.066,,5.5
2025-06-05 17:59:06+02:00,0.082,0.066,,
2025-06-05 17:59:08+02:00,,,56.0,
2025-06-05 17:59:09+02:00,0.082,0.066,,
2025-06-05 17:59:11+02:00,0.091,0.066,,
2025-06-05 17:59:14+02:00,0.091,0.066,,
2025-06-05 17:59:15+02:00,,,58.0,
2025-06-05 17:59:17+02:00,0.091,0.066,,
2025-06-05 17:59:19+02:00,0.077,0.066,,4.0
2025-06-05 17:59:21+02:00,,,58.0,
2025-06-05 17:59:22+02:00,0.077,0.066,,
2025-06-05 17:59:23+02:00,,,58.0,
2025-06-05 17:59:24+02:00,0.077,0.066,,
2025-06-05 17:59:27+02:00,0.077,0.066,58.0,5.3
2025-06-05 17:59:29+02:00,0.091,0.066,,
2025-06-05 17:59:32+02:00,0.095,0.066,,
2025-06-05 17:59:33+02:00,,,59.0,
2025-06-05 17:59:34+02:00,0.095,0.066,,
2025-06-05 17:59:37+02:00,0.082,0.066,,
2025-06-05 17:59:40+02:00,0.077,0.066,,
2025-06-05 17:59:41+02:00,,,56.0,
2025-06-05 17:59:42+02:00,0.041,0.066,,3.4
2025-06-05 17:59:45+02:00,0.041,0.066,55.0,
2025-06-05 17:59:47+02:00,0.041,0.066,,
2025-06-05 17:59:49+02:00,,,55.0,
2025-06-05 17:59:50+02:00,0.077,0.066,,
2025-06-05 17:59:52+02:00,0.078,0.066,,6.3
2025-06-05 17:59:55+02:00,0.078,0.066,55.0,
2025-06-05 17:59:57+02:00,,,55.0,
2025-06-05 17:59:58+02:00,0.078,0.066,,
2025-06-05 18:00:00+02:00,0.078,0.066,,
2025-06-05 18:00:03+02:00,0.099,0.066,,
2025-06-05 18:00:04+02:00,,,60.0,
2025-06-05 18:00:05+02:00,0.099,0.066,,
2025-06-05 18:00:08+02:00,0.095,0.066,59.0,
2025-06-05 18:00:10+02:00,0.095,0.066,,
2025-06-05 18:00:13+02:00,0.082,0.066,,
2025-06-05 18:00:15+02:00,0.082,0.066,,
2025-06-05 18:00:16+02:00,,,56.0,
2025-06-05 18:00:18+02:00,0.082,0.066,,
2025-06-05 18:00:20+02:00,,,56.0,
2025-06-05 18:00:21+02:00,0.082,0.066,,
2025-06-05 18:00:23+02:00,0.087,0.066,,
2025-06-05 18:00:26+02:00,0.087,0.066,57.0,
2025-06-05 18:00:28+02:00,0.077,0.066,,
2025-06-05 18:00:31+02:00,0.077,0.066,58.0,
2025-06-05 18:00:32+02:00,,,58.0,
2025-06-05 18:00:33+02:00,0.091,0.066,,
2025-06-05 18:00:36+02:00,0.091,0.066,,
2025-06-05 18:00:38+02:00,,,58.0,
2025-06-05 18:00:39+02:00,0.091,0.066,,
2025-06-05 18:00:41+02:00,0.091,0.066,,
2025-06-05 18:00:44+02:00,0.091,0.066,,1.6
2025-06-05 18:00:45+02:00,,,59.0,
2025-06-05 18:00:46+02:00,0.041,0.066,,
2025-06-05 18:00:49+02:00,0.041,0.066,,
2025-06-05 18:00:51+02:00,0.041,0.066,55.0,6.5
2025-06-05 18:00:53+02:00,,,55.0,
2025-06-05 18:00:54+02:00,0.078,0.066,,
2025-06-05 18:00:56+02:00,0.078,0.066,,
2025-06-05 18:00:59+02:00,0.078,0.066,55.0,
2025-06-05 18:01:02+02:00,0.074,0.066,,
2025-06-05 18:01:04+02:00,0.074,0.066,54.0,
2025-06-05 18:01:07+02:00,0.074,0.066,54.0,
2025-06-05 18:01:09+02:00,0.077,0.066,,4.3
2025-06-05 18:01:12+02:00,0.077,0.066,55.0,
2025-06-05 18:01:14+02:00,0.077,0.066,,
2025-06-05 18:01:17+02:00,0.077,0.066,,
2025-06-05 18:01:20+02:00,0.078,0.066,,6.2
2025-06-05 18:01:22+02:00,0.078,0.066,,
2025-06-05 18:01:25+02:00,0.078,0.066,,
2025-06-05 18:01:27+02:00,0.078,0.066,,
2025-06-05 18:01:30+02:00,0.078,0.066,,
2025-06-05 18:01:32+02:00,0.078,0.066,,
2025-06-05 18:01:35+02:00,0.078,0.066,,
2025-06-05 18:01:37+02:00,0.078,0.066,,
2025-06-05 18:01:40+02:00,0.078,0.066,,
2025-06-05 18:01:41+02:00,,,64.0,
2025-06-05 18:01:43+02:00,0.078,0.066,,
2025-06-05 18:01:45+02:00,0.267,0.066,,
2025-06-05 18:01:46+02:00,,,65.0,
2025-06-05 18:01:48+02:00,0.267,0.066,,
2025-06-05 18:01:50+02:00,0.267,0.066,,
2025-06-05 18:01:51+02:00,,,62.0,
2025-06-05 18:01:53+02:00,0.267,0.066,,
2025-06-05 18:01:55+02:00,0.267,0.066,,1.6
2025-06-05 18:01:56+02:00,,,61.0,
2025-06-05 18:01:58+02:00,0.041,0.066,,
2025-06-05 18:02:01+02:00,0.041,0.066,60.0,
2025-06-05 18:02:03+02:00,0.041,0.066,,
2025-06-05 18:02:06+02:00,0.041,0.066,59.0,
2025-06-05 18:02:08+02:00,0.041,0.066,,
2025-06-05 18:02:11+02:00,0.041,0.066,58.0,
2025-06-05 18:02:13+02:00,0.041,0.066,,
2025-06-05 18:02:15+02:00,,,58.0,
2025-06-05 18:02:16+02:00,0.041,0.066,,
2025-06-05 18:02:18+02:00,0.041,0.066,,
2025-06-05 18:02:21+02:00,0.041,0.066,58.0,6.4
2025-06-05 18:02:22+02:00,,,58.0,
2025-06-05 18:02:24+02:00,0.091,0.066,,
2025-06-05 18:02:26+02:00,0.095,0.066,,
2025-06-05 18:02:27+02:00,,,59.0,
2025-06-05 18:02:29+02:00,0.095,0.066,,
2025-06-05 18:02:31+02:00,0.095,0.066,,
2025-06-05 18:02:34+02:00,0.095,0.066,59.0,
2025-06-05 18:02:36+02:00,0.099,0.066,,
2025-06-05 18:02:37+02:00,,,60.0,
2025-06-05 18:02:39+02:00,0.099,0.066,,
2025-06-05 18:02:42+02:00,0.097,0.066,,
2025-06-05 18:02:44+02:00,0.097,0.066,,
2025-06-05 18:02:45+02:00,,,59.0,
2025-06-05 18:02:47+02:00,0.097,0.066,59.0,
2025-06-05 18:02:49+02:00,0.097,0.066,,
2025-06-05 18:02:52+02:00,0.099,0.066,60.0,
2025-06-05 18:02:54+02:00,0.099,0.066,,
2025-06-05 18:02:57+02:00,0.099,0.066,,
2025-06-05 18:02:58+02:00,,,60.0,
2025-06-05 18:02:59+02:00,0.099,0.066,,
2025-06-05 18:03:02+02:00,0.099,0.066,,
2025-06-05 18:03:03+02:00,,,60.0,
2025-06-05 18:03:05+02:00,0.099,0.066,,1.6
2025-06-05 18:03:07+02:00,0.041,0.066,,
2025-06-05 18:03:10+02:00,0.041,0.066,,
2025-06-05 18:03:11+02:00,,,58.0,
2025-06-05 18:03:12+02:00,0.041,0.066,,
2025-06-05 18:03:15+02:00,0.041,0.066,58.0,
2025-06-05 18:03:17+02:00,0.041,0.066,,
2025-06-05 18:03:18+02:00,,,58.0,
2025-06-05 18:03:20+02:00,0.041,0.066,,
2025-06-05 18:03:23+02:00,0.041,0.066,,
2025-06-05 18:03:25+02:00,0.041,0.066,,
2025-06-05 18:03:26+02:00,,,59.0,
2025-06-05 18:03:28+02:00,0.041,0.066,,
2025-06-05 18:03:29+02:00,,,59.0,
2025-06-05 18:03:30+02:00,0.041,0.066,,
2025-06-05 18:03:33+02:00,0.041,0.066,60.0,
2025-06-05 18:03:35+02:00,0.041,0.066,,5.9
2025-06-05 18:03:37+02:00,,,61.0,
2025-06-05 18:03:38+02:00,0.104,0.066,,
2025-06-05 18:03:40+02:00,0.112,0.066,,
2025-06-05 18:03:42+02:00,,,63.0,
2025-06-05 18:03:43+02:00,0.112,0.066,,
2025-06-05 18:03:46+02:00,0.121,0.066,,
2025-06-05 18:03:48+02:00,0.121,0.066,65.0,
2025-06-05 18:03:51+02:00,0.121,0.066,,
2025-06-05 18:03:53+02:00,0.112,0.066,,
2025-06-05 18:03:56+02:00,0.112,0.066,63.0,
2025-06-05 18:03:58+02:00,0.104,0.066,,
2025-06-05 18:04:01+02:00,0.097,0.066,61.0,
2025-06-05 18:04:03+02:00,0.077,0.066,,
2025-06-05 18:04:04+02:00,,,61.0,
2025-06-05 18:04:06+02:00,0.077,0.066,,
2025-06-05 18:04:07+02:00,,,62.0,
2025-06-05 18:04:09+02:00,0.108,0.066,,
2025-06-05 18:04:11+02:00,0.108,0.066,,
2025-06-05 18:04:14+02:00,0.077,0.066,,
2025-06-05 18:04:16+02:00,0.077,0.066,65.0,
2025-06-05 18:04:19+02:00,0.108,0.066,,
2025-06-05 18:04:21+02:00,0.108,0.066,62.0,
2025-06-05 18:04:24+02:00,0.095,0.066,,
2025-06-05 18:04:26+02:00,,,59.0,
2025-06-05 18:04:27+02:00,0.095,0.066,,
2025-06-05 18:04:29+02:00,0.095,0.066,,
2025-06-05 18:04:30+02:00,,,59.0,
2025-06-05 18:04:32+02:00,0.095,0.066,,
2025-06-05 18:04:34+02:00,0.095,0.066,,1.6
2025-06-05 18:04:36+02:00,,,64.0,
2025-06-05 18:04:37+02:00,0.041,0.066,,
2025-06-05 18:04:39+02:00,0.041,0.066,64.0,
2025-06-05 18:04:42+02:00,0.041,0.066,,
2025-06-05 18:04:43+02:00,,,62.0,
2025-06-05 18:04:44+02:00,0.041,0.066,,
2025-06-05 18:04:47+02:00,0.041,0.066,,
2025-06-05 18:04:50+02:00,0.041,0.066,59.0,
2025-06-05 18:04:52+02:00,0.041,0.066,,
2025-06-05 18:04:55+02:00,0.041,0.066,,
2025-06-05 18:04:56+02:00,,,60.0,
2025-06-05 18:04:57+02:00,0.041,0.066,,
2025-06-05 18:04:58+02:00,,,60.0,
2025-06-05 18:05:00+02:00,0.041,0.066,,
2025-06-05 18:05:02+02:00,0.041,0.066,,
2025-06-05 18:05:03+02:00,,,59.0,
2025-06-05 18:05:05+02:00,0.041,0.066,,
2025-06-05 18:05:08+02:00,0.041,0.066,,
2025-06-05 18:05:10+02:00,0.041,0.066,,
2025-06-05 18:05:11+02:00,,,57.0,
2025-06-05 18:05:13+02:00,0.041,0.066,,
2025-06-05 18:05:15+02:00,0.041,0.066,56.0,
2025-06-05 18:05:18+02:00,0.041,0.066,,4.9
2025-06-05 18:05:20+02:00,0.077,0.066,,
2025-06-05 18:05:21+02:00,,,55.0,
2025-06-05 18:05:22+02:00,,,55.0,
2025-06-05 18:05:23+02:00,0.077,0.066,,
2025-06-05 18:05:25+02:00,0.078,0.066,,
2025-06-05 18:05:28+02:00,0.078,0.066,,6.1
2025-06-05 18:05:30+02:00,,,57.0,
2025-06-05 18:05:31+02:00,0.087,0.066,,
2025-06-05 18:05:33+02:00,0.077,0.066,,
2025-06-05 18:05:34+02:00,,,57.0,
2025-06-05 18:05:36+02:00,0.087,0.066,,
2025-06-05 18:05:38+02:00,0.087,0.066,57.0,
2025-06-05 18:05:41+02:00,0.087,0.066,,
2025-06-05 18:05:42+02:00,,,57.0,
2025-06-05 18:05:43+02:00,0.087,0.066,,
2025-06-05 18:05:46+02:00,0.087,0.066,,
2025-06-05 18:05:49+02:00,0.108,0.066,,
2025-06-05 18:05:51+02:00,0.108,0.066,62.0,
2025-06-05 18:05:52+02:00,,,61.0,
2025-06-05 18:05:54+02:00,0.095,0.066,,
2025-06-05 18:05:56+02:00,0.095,0.066,,
2025-06-05 18:05:59+02:00,0.095,0.066,59.0,
2025-06-05 18:06:01+02:00,0.087,0.066,,
2025-06-05 18:06:04+02:00,0.087,0.066,57.0,
2025-06-05 18:06:06+02:00,0.087,0.066,,
2025-06-05 18:06:09+02:00,0.087,0.066,,
2025-06-05 18:06:11+02:00,,,56.0,
2025-06-05 18:06:12+02:00,0.087,0.066,57.0,
2025-06-05 18:06:14+02:00,0.087,0.066,,
2025-06-05 18:06:17+02:00,0.074,0.066,,
2025-06-05 18:06:19+02:00,0.074,0.066,,
2025-06-05 18:06:20+02:00,,,54.0,
2025-06-05 18:06:22+02:00,0.074,0.066,,
2025-06-05 18:06:24+02:00,0.074,0.066,54.0,
2025-06-05 18:06:27+02:00,0.074,0.066,,1.6
2025-06-05 18:06:30+02:00,0.041,0.066,,
2025-06-05 18:06:31+02:00,,,53.0,
2025-06-05 18:06:32+02:00,0.041,0.066,,
2025-06-05 18:06:35+02:00,0.041,0.066,52.0,
2025-06-05 18:06:37+02:00,0.041,0.066,,
2025-06-05 18:06:39+02:00,,,51.0,
2025-06-05 18:06:40+02:00,0.041,0.066,,6.5
2025-06-05 18:06:42+02:00,0.07,0.066,,
2025-06-05 18:06:44+02:00,,,53.0,
2025-06-05 18:06:45+02:00,0.07,0.066,,
2025-06-05 18:06:47+02:00,0.082,0.066,,
2025-06-05 18:06:49+02:00,,,56.0,
2025-06-05 18:06:50+02:00,0.082,0.066,,
2025-06-05 18:06:53+02:00,0.082,0.066,,
2025-06-05 18:06:55+02:00,0.082,0.066,,
2025-06-05 18:06:56+02:00,,,56.0,
2025-06-05 18:06:58+02:00,0.082,0.066,,
2025-06-05 18:07:00+02:00,0.082,0.066,,
2025-06-05 18:07:01+02:00,,,56.0,
2025-06-05 18:07:02+02:00,,,56.0,
2025-06-05 18:07:03+02:00,0.082,0.066,,
2025-06-05 18:07:05+02:00,0.082,0.066,,
2025-06-05 18:07:08+02:00,0.082,0.066,56.0,
2025-06-05 18:07:11+02:00,0.082,0.066,,
2025-06-05 18:07:13+02:00,0.078,0.066,,
2025-06-05 18:07:16+02:00,0.078,0.066,55.0,
2025-06-05 18:07:18+02:00,0.078,0.066,,
2025-06-05 18:07:21+02:00,0.078,0.066,55.0,
2025-06-05 18:07:22+02:00,,,55.0,
2025-06-05 18:07:23+02:00,0.078,0.066,,1.6
2025-06-05 18:07:26+02:00,0.041,0.066,,
2025-06-05 18:07:28+02:00,0.041,0.066,,
2025-06-05 18:07:29+02:00,,,54.0,
2025-06-05 18:07:31+02:00,0.041,0.066,,
2025-06-05 18:07:34+02:00,0.041,0.066,,
2025-06-05 18:07:36+02:00,0.041,0.066,54.0,
2025-06-05 18:07:39+02:00,0.041,0.066,,6.5
2025-06-05 18:07:40+02:00,,,54.0,
2025-06-05 18:07:41+02:00,0.074,0.066,,
2025-06-05 18:07:42+02:00,,,54.0,
2025-06-05 18:07:44+02:00,0.074,0.066,,
2025-06-05 18:07:46+02:00,0.082,0.066,,
2025-06-05 18:07:49+02:00,0.082,0.066,,
2025-06-05 18:07:50+02:00,,,56.0,
2025-06-05 18:07:52+02:00,0.087,0.066,57.0,
2025-06-05 18:07:54+02:00,0.087,0.066,,
2025-06-05 18:07:57+02:00,0.082,0.066,,
2025-06-05 18:07:59+02:00,0.082,0.066,,4.9
2025-06-05 18:08:01+02:00,,,56.0,
2025-06-05 18:08:02+02:00,0.077,0.066,,
2025-06-05 18:08:04+02:00,0.077,0.066,,
2025-06-05 18:08:07+02:00,0.097,0.066,,
2025-06-05 18:08:09+02:00,0.097,0.066,,
2025-06-05 18:08:12+02:00,0.097,0.066,62.0,
2025-06-05 18:08:15+02:00,0.097,0.066,,
2025-06-05 18:08:17+02:00,0.097,0.066,64.0,6.5
2025-06-05 18:08:20+02:00,0.116,0.066,,
2025-06-05 18:08:22+02:00,0.138,0.066,,
2025-06-05 18:08:25+02:00,0.138,0.066,,
2025-06-05 18:08:26+02:00,,,69.0,
2025-06-05 18:08:27+02:00,0.138,0.066,,
2025-06-05 18:08:30+02:00,0.129,0.066,67.0,
2025-06-05 18:08:32+02:00,0.125,0.066,66.0,
2025-06-05 18:08:35+02:00,0.125,0.066,,
2025-06-05 18:08:38+02:00,0.108,0.066,,
2025-06-05 18:08:40+02:00,0.108,0.066,,
2025-06-05 18:08:41+02:00,,,62.0,
2025-06-05 18:08:43+02:00,0.108,0.066,,
2025-06-05 18:08:45+02:00,0.099,0.066,,
2025-06-05 18:08:46+02:00,,,60.0,
2025-06-05 18:08:48+02:00,0.099,0.066,,
2025-06-05 18:08:50+02:00,0.091,0.066,,
2025-06-05 18:08:51+02:00,,,58.0,
2025-06-05 18:08:53+02:00,0.091,0.066,,
2025-06-05 18:08:56+02:00,0.087,0.066,57.0,
2025-06-05 18:08:57+02:00,,,57.0,
2025-06-05 18:08:58+02:00,0.087,0.066,,
2025-06-05 18:09:01+02:00,0.087,0.066,,
2025-06-05 18:09:03+02:00,0.082,0.066,,
2025-06-05 18:09:06+02:00,0.082,0.066,56.0,2.2
2025-06-05 18:09:08+02:00,0.041,0.066,,
2025-06-05 18:09:11+02:00,0.041,0.066,57.0,
2025-06-05 18:09:13+02:00,0.041,0.066,,
2025-06-05 18:09:16+02:00,0.041,0.066,55.0,
2025-06-05 18:09:19+02:00,0.041,0.066,56.0,
2025-06-05 18:09:21+02:00,0.082,0.066,,6.5
2025-06-05 18:09:22+02:00,,,56.0,
2025-06-05 18:09:24+02:00,0.082,0.066,,
2025-06-05 18:09:26+02:00,0.087,0.066,,
2025-06-05 18:09:27+02:00,,,57.0,
2025-06-05 18:09:29+02:00,0.087,0.066,,
2025-06-05 18:09:31+02:00,0.087,0.066,,
2025-06-05 18:09:34+02:00,0.087,0.066,,
2025-06-05 18:09:36+02:00,,,57.0,
2025-06-05 18:09:37+02:00,0.087,0.066,,4.0
2025-06-05 18:09:39+02:00,0.077,0.066,,
2025-06-05 18:09:40+02:00,,,57.0,
2025-06-05 18:09:42+02:00,0.077,0.066,57.0,
2025-06-05 18:09:44+02:00,0.077,0.066,,6.4
2025-06-05 18:09:47+02:00,0.104,0.066,61.0,
2025-06-05 18:09:49+02:00,0.104,0.066,,
2025-06-05 18:09:52+02:00,0.138,0.066,,
2025-06-05 18:09:54+02:00,0.138,0.066,,
2025-06-05 18:09:56+02:00,,,69.0,
2025-06-05 18:09:57+02:00,0.138,0.066,,
2025-06-05 18:10:00+02:00,0.138,0.066,72.0,
2025-06-05 18:10:02+02:00,0.142,0.066,,
2025-06-05 18:10:03+02:00,,,70.0,
2025-06-05 18:10:05+02:00,0.112,0.066,,
2025-06-05 18:10:07+02:00,0.112,0.066,,
2025-06-05 18:10:10+02:00,0.112,0.066,,
2025-06-05 18:10:11+02:00,,,63.0,
2025-06-05 18:10:12+02:00,0.112,0.066,,
2025-06-05 18:10:15+02:00,0.099,0.066,,
2025-06-05 18:10:16+02:00,,,60.0,
2025-06-05 18:10:18+02:00,0.095,0.066,,
2025-06-05 18:10:19+02:00,,,59.0,
2025-06-05 18:10:20+02:00,0.095,0.066,,
2025-06-05 18:10:23+02:00,0.082,0.066,,
2025-06-05 18:10:24+02:00,,,56.0,
2025-06-05 18:10:25+02:00,0.082,0.066,,
2025-06-05 18:10:28+02:00,0.078,0.066,,1.6
2025-06-05 18:10:30+02:00,0.041,0.066,55.0,
2025-06-05 18:10:33+02:00,0.041,0.066,,
2025-06-05 18:10:34+02:00,,,55.0,
2025-06-05 18:10:35+02:00,0.041,0.066,,
2025-06-05 18:10:38+02:00,0.041,0.066,,6.4
2025-06-05 18:10:41+02:00,0.074,0.066,54.0,
2025-06-05 18:10:43+02:00,0.074,0.066,,
2025-06-05 18:10:46+02:00,0.074,0.066,54.0,
2025-06-05 18:10:48+02:00,0.074,0.066,54.0,
2025-06-05 18:10:51+02:00,0.078,0.066,,
2025-06-05 18:10:52+02:00,,,55.0,
2025-06-05 18:10:53+02:00,0.078,0.066,,
2025-06-05 18:10:56+02:00,0.078,0.066,,
2025-06-05 18:10:57+02:00,,,55.0,
2025-06-05 18:10:59+02:00,0.078,0.066,,
2025-06-05 18:11:01+02:00,0.097,0.066,,
2025-06-05 18:11:04+02:00,0.108,0.066,,
2025-06-05 18:11:06+02:00,0.108,0.066,62.0,
2025-06-05 18:11:07+02:00,,,62.0,
2025-06-05 18:11:09+02:00,0.108,0.066,,
2025-06-05 18:11:11+02:00,0.104,0.066,,
2025-06-05 18:11:12+02:00,,,61.0,
2025-06-05 18:11:14+02:00,0.104,0.066,,1.6
2025-06-05 18:11:16+02:00,0.041,0.066,,
2025-06-05 18:11:18+02:00,,,58.0,
2025-06-05 18:11:19+02:00,0.041,0.066,,
2025-06-05 18:11:22+02:00,0.041,0.066,,
2025-06-05 18:11:24+02:00,0.041,0.066,,6.5
2025-06-05 18:11:26+02:00,,,56.0,
2025-06-05 18:11:27+02:00,0.078,0.066,,
2025-06-05 18:11:29+02:00,0.078,0.066,,
2025-06-05 18:11:31+02:00,,,55.0,
2025-06-05 18:11:32+02:00,0.078,0.066,,
2025-06-05 18:11:34+02:00,0.078,0.066,,
2025-06-05 18:11:35+02:00,,,55.0,
2025-06-05 18:11:37+02:00,0.078,0.066,55.0,
2025-06-05 18:11:40+02:00,0.082,0.066,,
2025-06-05 18:11:42+02:00,0.082,0.066,56.0,
2025-06-05 18:11:45+02:00,0.082,0.066,,
2025-06-05 18:11:47+02:00,0.078,0.066,,
2025-06-05 18:11:50+02:00,0.078,0.066,,
2025-06-05 18:11:51+02:00,,,55.0,
2025-06-05 18:11:52+02:00,0.078,0.066,,
2025-06-05 18:11:53+02:00,,,55.0,
2025-06-05 18:11:55+02:00,0.078,0.066,,
2025-06-05 18:11:57+02:00,0.078,0.066,,
2025-06-05 18:12:00+02:00,0.078,0.066,55.0,
2025-06-05 18:12:03+02:00,0.078,0.066,,
2025-06-05 18:12:04+02:00,,,55.0,
2025-06-05 18:12:05+02:00,0.078,0.066,,
2025-06-05 18:12:08+02:00,0.078,0.066,55.0,
2025-06-05 18:12:10+02:00,0.078,0.066,,
2025-06-05 18:12:13+02:00,0.082,0.066,,
2025-06-05 18:12:15+02:00,0.082,0.066,,
2025-06-05 18:12:16+02:00,,,56.0,
2025-06-05 18:12:18+02:00,0.082,0.066,,
2025-06-05 18:12:20+02:00,0.082,0.066,,
2025-06-05 18:12:21+02:00,,,56.0,
2025-06-05 18:12:23+02:00,0.082,0.066,,
2025-06-05 18:12:26+02:00,0.078,0.066,55.0,
2025-06-05 18:12:28+02:00,0.078,0.066,,
2025-06-05 18:12:30+02:00,,,55.0,
2025-06-05 18:12:31+02:00,0.078,0.066,,
2025-06-05 18:12:33+02:00,0.074,0.066,,
2025-06-05 18:12:36+02:00,0.074,0.066,54.0,
2025-06-05 18:12:38+02:00,0.078,0.066,,
2025-06-05 18:12:41+02:00,0.078,0.066,55.0,
2025-06-05 18:12:44+02:00,0.078,0.066,,
2025-06-05 18:12:45+02:00,,,55.0,
2025-06-05 18:12:46+02:00,0.078,0.066,,
2025-06-05 18:12:47+02:00,,,55.0,
2025-06-05 18:12:49+02:00,0.078,0.066,,
2025-06-05 18:12:51+02:00,0.078,0.066,,
2025-06-05 18:12:53+02:00,,,55.0,
2025-06-05 18:12:54+02:00,0.078,0.066,,1.6
2025-06-05 18:12:56+02:00,0.041,0.066,,
2025-06-05 18:12:59+02:00,0.041,0.066,,
2025-06-05 18:13:00+02:00,,,55.0,
2025-06-05 18:13:01+02:00,0.041,0.066,,
2025-06-05 18:13:04+02:00,0.041,0.066,,
2025-06-05 18:13:05+02:00,,,54.0,
2025-06-05 18:13:07+02:00,0.041,0.066,55.0,
2025-06-05 18:13:09+02:00,0.041,0.066,,
2025-06-05 18:13:12+02:00,0.041,0.066,,
2025-06-05 18:13:13+02:00,,,54.0,
2025-06-05 18:13:14+02:00,0.041,0.066,,
2025-06-05 18:13:17+02:00,0.041,0.066,,
2025-06-05 18:13:19+02:00,0.041,0.066,,
2025-06-05 18:13:21+02:00,,,53.0,
2025-06-05 18:13:22+02:00,0.041,0.066,,
2025-06-05 18:13:23+02:00,,,53.0,
2025-06-05 18:13:25+02:00,0.041,0.066,,
2025-06-05 18:13:27+02:00,0.041,0.066,,6.5
2025-06-05 18:13:29+02:00,,,53.0,
2025-06-05 18:13:30+02:00,0.07,0.066,,
2025-06-05 18:13:32+02:00,0.07,0.066,54.0,
2025-06-05 18:13:35+02:00,0.07,0.066,,
2025-06-05 18:13:37+02:00,0.07,0.066,53.0,1.6
2025-06-05 18:13:40+02:00,0.041,0.066,,
2025-06-05 18:13:42+02:00,0.041,0.066,,
2025-06-05 18:13:45+02:00,0.041,0.066,,
2025-06-05 18:13:46+02:00,,,54.0,
2025-06-05 18:13:48+02:00,0.041,0.066,,6.2
2025-06-05 18:13:50+02:00,0.074,0.066,,
2025-06-05 18:13:51+02:00,,,54.0,
2025-06-05 18:13:52+02:00,,,54.0,
2025-06-05 18:13:53+02:00,0.074,0.066,,
2025-06-05 18:13:55+02:00,0.074,0.066,,
2025-06-05 18:13:57+02:00,,,54.0,
2025-06-05 18:13:58+02:00,0.074,0.066,,
2025-06-05 18:14:00+02:00,0.078,0.066,,
2025-06-05 18:14:02+02:00,,,55.0,
2025-06-05 18:14:03+02:00,0.078,0.066,,
2025-06-05 18:14:06+02:00,0.078,0.066,,
2025-06-05 18:14:07+02:00,,,55.0,
2025-06-05 18:14:08+02:00,0.078,0.066,,
2025-06-05 18:14:11+02:00,0.091,0.066,,
2025-06-05 18:14:13+02:00,0.091,0.066,58.0,
2025-06-05 18:14:16+02:00,0.087,0.066,,
2025-06-05 18:14:17+02:00,,,57.0,
2025-06-05 18:14:18+02:00,0.077,0.066,,
2025-06-05 18:14:21+02:00,0.077,0.066,,
2025-06-05 18:14:22+02:00,,,57.0,
2025-06-05 18:14:23+02:00,0.095,0.066,,
2025-06-05 18:14:26+02:00,0.095,0.066,,
2025-06-05 18:14:27+02:00,,,59.0,
2025-06-05 18:14:29+02:00,0.095,0.066,,
2025-06-05 18:14:31+02:00,0.095,0.066,,
2025-06-05 18:14:34+02:00,0.091,0.066,,
